td_sku_nbr,td_chain_nbr,td_last_update_dt
600443057,7,7/10/2018
600443101,7,7/10/2018
600443145,7,7/10/2018
600443022,7,7/10/2018
600443043,7,7/10/2018
600443025,7,7/10/2018
600443045,7,7/10/2018
600443055,7,7/10/2018
600443049,7,7/10/2018
600443027,7,7/10/2018
600443050,7,7/10/2018
600443095,7,7/10/2018
600443051,7,7/10/2018
600443088,7,7/10/2018
600443048,7,7/10/2018
600443029,7,7/10/2018
600443021,7,7/10/2018
600443103,7,7/10/2018
600443071,7,7/10/2018
600443062,7,7/10/2018
600443140,7,7/10/2018
600443157,7,7/10/2018
600443124,7,7/10/2018
600443125,7,7/10/2018
600443066,7,7/10/2018
600443046,7,7/10/2018
600443161,7,7/10/2018
600443061,7,7/10/2018
600443047,7,7/10/2018
600443056,7,7/10/2018
600443094,7,7/10/2018
600443042,7,7/10/2018
600443018,7,7/10/2018
600443074,7,7/10/2018
600443067,7,7/10/2018
600443156,7,7/10/2018
600443164,7,7/10/2018
600443035,7,7/10/2018
600443135,7,7/10/2018
600443159,7,7/10/2018
600443110,7,7/10/2018
600443144,7,7/10/2018
600443069,7,7/10/2018
600443064,7,7/10/2018
600443118,7,7/10/2018
600443119,7,7/10/2018
600443143,7,7/10/2018
600443098,7,7/10/2018
600443141,7,7/10/2018
600443080,7,7/10/2018
600443076,7,7/10/2018
600443111,7,7/10/2018
600443105,7,7/10/2018
600443033,7,7/10/2018
600443171,7,7/10/2018
600443034,7,7/10/2018
600443052,7,7/10/2018
600443032,7,7/10/2018
600443153,7,7/10/2018
600443132,7,7/10/2018
600443148,7,7/10/2018
600443172,7,7/10/2018
600443020,7,7/10/2018
600443109,7,7/10/2018
600443128,7,7/10/2018
600443053,7,7/10/2018
600443149,7,7/10/2018
600443084,7,7/10/2018
600443163,7,7/10/2018
600443117,7,7/10/2018
600443170,7,7/10/2018
600443121,7,7/10/2018
600443108,7,7/10/2018
600443158,7,7/10/2018
600443024,7,7/10/2018
600443038,7,7/10/2018
600443100,7,7/10/2018
600443063,7,7/10/2018
600443083,7,7/10/2018
600443120,7,7/10/2018
600443146,7,7/10/2018
600443136,7,7/10/2018
600443091,7,7/10/2018
600443031,7,7/10/2018
600443134,7,7/10/2018
600443092,7,7/10/2018
600443093,7,7/10/2018
600443030,7,7/10/2018
600443129,7,7/10/2018
600443102,7,7/10/2018
600443089,7,7/10/2018
600443040,7,7/10/2018
600443023,7,7/10/2018
600443160,7,7/10/2018
600443151,7,7/10/2018
600443168,7,7/10/2018
600443044,7,7/10/2018
600443152,7,7/10/2018
600443165,7,7/10/2018
600443039,7,7/10/2018
600443155,7,7/10/2018
600443019,7,7/10/2018
600443138,7,7/10/2018
600443115,7,7/10/2018
600443060,7,7/10/2018
600443131,7,7/10/2018
600443037,7,7/10/2018
600443081,7,7/10/2018
600443154,7,7/10/2018
600443026,7,7/10/2018
600443087,7,7/10/2018
600443142,7,7/10/2018
600443147,7,7/10/2018
600443059,7,7/10/2018
600443114,7,7/10/2018
600443085,7,7/10/2018
600443162,7,7/10/2018
600443041,7,7/10/2018
600443086,7,7/10/2018
600443036,7,7/10/2018
600443028,7,7/10/2018
600443090,7,7/10/2018
600443106,7,7/10/2018
600438250,7,7/11/2018
600454782,7,7/12/2018
600454777,7,7/12/2018
600459877,7,7/19/2018
600459891,7,7/19/2018
600459876,7,7/19/2018
600459898,7,7/19/2018
600459882,7,7/19/2018
600459887,7,7/19/2018
600459884,7,7/19/2018
600459878,7,7/19/2018
600459881,7,7/19/2018
600459892,7,7/19/2018
600459879,7,7/19/2018
600459889,7,7/19/2018
600459893,7,7/19/2018
600459885,7,7/19/2018
600459875,7,7/19/2018
